node,calculated_community
0,2
1,2
2,1
3,1
4,1
5,3
6,2
7,4
8,4
9,4
10,1
11,4
12,4
13,2
14,2
15,5
16,1
17,2
18,2
19,4
20,1
21,1
22,1
23,3
24,3
25,3
26,3
27,3
28,1
29,3
30,3
31,1
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,2
42,1
43,4
44,4
45,1
46,1
47,3
48,3
49,1
50,1
51,2
52,2
53,2
54,1
55,1
56,1
57,1
58,1
59,1
60,2
61,2
62,1
63,1
64,2
65,2
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,2
74,2
75,3
76,3
77,1
78,2
79,2
80,1
81,1
82,2
83,1
84,1
85,2
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,2
94,2
95,2
96,1
97,5
98,5
99,5
100,5
101,5
102,5
103,2
104,2
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,3
114,1
115,1
116,3
117,1
118,1
119,3
120,2
121,1
122,2
123,2
124,5
125,5
126,1
127,8
128,2
129,2
130,2
131,1
132,1
133,2
134,6
135,3
136,3
137,1
138,1
139,5
140,5
141,4
142,1
143,2
144,1
145,1
146,2
147,1
148,2
149,2
150,2
151,3
152,1
153,1
154,1
155,1
156,2
157,2
158,1
159,1
160,2
161,4
162,1
163,1
164,5
165,3
166,2
167,2
168,2
169,1
170,1
171,3
172,2
173,1
174,1
175,1
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,1
185,5
186,1
187,1
188,1
189,1
190,1
191,2
192,1
193,1
194,1
195,1
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,1
209,1
210,1
211,1
212,1
213,4
214,2
215,2
216,5
217,1
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,2
228,2
229,3
230,1
231,2
232,2
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,3
246,4
247,4
248,2
249,1
250,2
251,3
252,1
253,1
254,1
255,1
256,1
257,2
258,1
259,1
260,1
261,3
262,2
263,3
264,4
265,4
266,4
267,4
268,2
269,1
270,2
271,1
272,5
273,5
274,5
275,2
276,2
277,2
278,2
279,1
280,2
281,1
282,1
283,2
284,2
285,1
286,1
287,1
288,1
289,2
290,2
291,2
292,2
293,4
294,2
295,2
296,2
297,2
298,1
299,1
300,1
301,3
302,1
303,1
304,1
305,1
306,1
307,2
308,2
309,2
310,2
311,2
312,2
313,2
314,2
315,2
316,2
317,2
318,3
319,1
320,2
321,2
322,5
323,5
324,4
325,1
326,1
327,1
328,1
329,1
330,2
331,2
332,4
333,1
334,5
335,5
336,3
337,3
338,3
339,3
340,2
341,2
342,2
343,2
344,2
345,2
346,2
347,2
348,2
349,2
350,2
351,2
352,2
353,5
354,5
355,1
356,1
357,1
358,4
359,4
360,4
361,3
362,4
363,1
364,1
365,1
366,1
367,1
368,2
369,1
370,3
371,1
372,1
373,1
374,4
375,1
376,2
377,2
378,2
379,2
380,2
381,2
382,2
383,2
384,2
385,2
386,2
387,2
388,2
389,2
390,2
391,2
392,2
393,2
394,2
395,2
396,2
397,2
398,2
399,2
400,1
401,2
402,2
403,2
404,1
405,1
406,4
407,4
408,1
409,3
410,1
411,1
412,1
413,2
414,7
415,7
416,1
417,3
418,1
419,2
420,1
421,4
422,1
423,3
424,1
425,2
426,2
427,1
428,5
429,5
430,4
431,1
432,1
433,1
434,1
435,8
436,3
437,3
438,3
439,3
440,2
441,4
442,3
443,3
444,3
445,2
446,5
447,5
448,5
449,7
450,2
451,4
452,4
453,1
454,1
455,3
456,12
457,2
458,2
459,2
460,1
461,5
462,1
463,13
464,2
465,1
466,4
467,1
468,2
469,1
470,3
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,2
480,1
481,1
482,2
483,2
484,2
485,3
486,2
487,4
488,4
489,1
490,1
491,2
492,1
493,2
494,2
495,2
496,4
497,2
498,4
499,4
500,4
501,4
502,4
503,4
504,4
505,4
506,4
507,14
508,1
509,1
510,4
511,2
512,1
513,1
514,1
515,2
516,5
517,5
518,1
519,2
520,1
521,6
522,2
523,2
524,1
525,4
526,2
527,3
528,2
529,4
530,4
531,1
532,1
533,1
534,2
535,6
536,1
537,2
538,1
539,2
540,1
541,5
542,2
543,2
544,2
545,3
